datasize,real,model
49200.0,0.122337,0.115488
42400.0,0.106624,0.0968257500001
45000.0,0.112544,0.117376
52000.0,0.128928,0.1194048
44000.0,0.110561,0.114178
47200.0,0.117281,0.12096
48600.0,0.121185,0.125056
47400.0,0.117728,0.121664
50200.0,0.125313,0.1158336
46800.0,0.11648,0.121154
49400.0,0.123457,0.1147392
40200.0,0.101281,0.09324
41600.0,0.104577,0.0952
48400.0,0.120833,0.124162
45800.0,0.114496,0.12192
50000.0,0.124768,0.1158354
47800.0,0.120128,0.125056
47000.0,0.117473,0.122178
42800.0,0.107201,0.0967137499999
40000.0,0.100801,0.0924000000001
45200.0,0.113985,0.117314
50600.0,0.125921,0.1160658
46200.0,0.11504,0.120194
50800.0,0.126785,0.117621
42600.0,0.10672,0.09676975
44600.0,0.111456,0.117122
47600.0,0.118176,0.124544
51200.0,0.127265,0.119061
49600.0,0.123361,0.1161234
40600.0,0.102464,0.0935760000001
44400.0,0.112001,0.11405
41000.0,0.102624,0.093632
48200.0,0.121281,0.124866
46600.0,0.116353,0.12205
41200.0,0.103361,0.0935777500001
41800.0,0.104449,0.09620975
41400.0,0.103392,0.09352175
40800.0,0.102593,0.0934079999999
43400.0,0.109793,0.113538
48000.0,0.119233,0.125952
43000.0,0.10688,0.096936
45400.0,0.113601,0.118018
46000.0,0.114465,0.11885
50400.0,0.125121,0.1161216
44800.0,0.112512,0.117184
48800.0,0.122113,0.12557
49800.0,0.125024,0.1162962
51400.0,0.130305,0.1195794
43200.0,0.107936,0.113794
42000.0,0.105249,0.0963217499999
45600.0,0.114048,0.118146
49000.0,0.122785,0.125122
43600.0,0.108321,0.114112
43800.0,0.110273,0.116032
51600.0,0.129313,0.1195794
40400.0,0.101729,0.0937440000001
46400.0,0.115489,0.120704
42200.0,0.104896,0.0971039999999
44200.0,0.110944,0.114178
